Singular Value Index,Min Pixel Deviation,Max Pixel Deviation
0,0.0,255.0
1,-154.0,131.0
2,-155.0,159.0
3,-151.0,177.0
4,-152.0,160.0
5,-152.0,161.0
6,-132.0,158.0
7,-132.0,153.0
8,-128.0,154.0
9,-125.0,163.0
10,-120.0,161.0
11,-108.0,164.0
12,-101.0,166.0
13,-103.0,165.0
14,-102.0,158.0
15,-98.0,157.0
16,-98.0,153.0
17,-100.0,153.0
18,-100.0,152.0
19,-98.0,150.0
20,-95.0,148.0
21,-93.0,147.0
22,-94.0,146.0
23,-94.0,143.0
24,-93.0,143.0
25,-97.0,143.0
26,-98.0,135.0
27,-98.0,131.0
28,-94.0,131.0
29,-93.0,127.0
30,-92.0,127.0
31,-89.0,127.0
32,-87.0,123.0
33,-86.0,121.0
34,-86.0,118.0
35,-86.0,118.0
36,-84.0,111.0
37,-84.0,110.0
38,-84.0,110.0
39,-83.0,110.0
40,-83.0,102.0
41,-81.0,102.0
42,-81.0,101.0
43,-80.0,100.0
44,-79.0,100.0
45,-78.0,100.0
46,-76.0,101.0
47,-77.0,101.0
48,-78.0,100.0
49,-76.0,93.0
50,-76.0,93.0
51,-76.0,93.0
52,-76.0,93.0
53,-75.0,92.0
54,-75.0,92.0
55,-75.0,89.0
56,-75.0,88.0
57,-75.0,87.0
58,-74.0,84.0
59,-74.0,83.0
60,-74.0,83.0
61,-74.0,83.0
62,-74.0,83.0
63,-71.0,83.0
64,-71.0,82.0
65,-70.0,82.0
66,-71.0,82.0
67,-70.0,82.0
68,-70.0,80.0
69,-69.0,80.0
70,-68.0,79.0
71,-68.0,78.0
72,-68.0,78.0
73,-68.0,78.0
74,-67.0,77.0
75,-64.0,77.0
76,-64.0,77.0
77,-64.0,77.0
78,-64.0,76.0
79,-64.0,76.0
80,-64.0,76.0
81,-63.0,76.0
82,-62.0,73.0
83,-61.0,72.0
84,-61.0,71.0
85,-61.0,71.0
86,-61.0,70.0
87,-61.0,70.0
88,-61.0,70.0
89,-60.0,69.0
90,-59.0,69.0
91,-58.0,69.0
